young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;7,9877
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;64,8242
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;7,7772
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;53,7326
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;6,4486
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;54,8902
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;6,5873
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;60,3642
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;7,2414
280000,0000;0,1000;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;8,8070
280000,0000;0,4500;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;8,2396
280000,0000;0,1000;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;16,9895
280000,0000;0,4500;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;15,9990
280000,0000;0,1000;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;61,8548
280000,0000;0,4500;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;56,5394
280000,0000;0,1000;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;4,0439
280000,0000;0,4500;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;3,8016
280000,0000;0,1000;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;4,8959
280000,0000;0,4500;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;4,5672
280000,0000;0,1000;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;21,5647
280000,0000;0,4500;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;20,0253
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;11,6317
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;10,8257
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;14,4723
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;13,4320
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;14,0951
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;13,0484
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;11,6681
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;10,8668
