young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
60000,0000;0,1000;10000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;672,1030
500000,0000;0,1000;10000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;80,9244
60000,0000;0,4500;10000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;622,8429
500000,0000;0,4500;10000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;74,9896
60000,0000;0,1000;8000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;22,7352
500000,0000;0,1000;8000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;2,7284
60000,0000;0,4500;8000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;21,4683
500000,0000;0,4500;8000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;2,5763
60000,0000;0,1000;10000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;43,4465
500000,0000;0,1000;10000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;5,2140
60000,0000;0,4500;10000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;41,2959
500000,0000;0,4500;10000,0000;2000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;4,9559
60000,0000;0,1000;8000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;176,9182
500000,0000;0,1000;8000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;21,1656
60000,0000;0,4500;8000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;161,4709
500000,0000;0,4500;8000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;19,3199
60000,0000;0,1000;10000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;343,8468
500000,0000;0,1000;10000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;41,1234
60000,0000;0,4500;10000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;317,4024
500000,0000;0,4500;10000,0000;1000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;37,9542
60000,0000;0,1000;8000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;11,7653
500000,0000;0,1000;8000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;1,4112
60000,0000;0,4500;8000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;11,0861
500000,0000;0,4500;8000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;1,3298
60000,0000;0,1000;10000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;22,3043
500000,0000;0,1000;10000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;2,6751
60000,0000;0,4500;10000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;21,1932
500000,0000;0,4500;10000,0000;2000,0000;1000000,0000;5000000,0000;1000000,0000;1000000,0000;2,5419
60000,0000;0,1000;8000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;386,5268
500000,0000;0,1000;8000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;46,4004
60000,0000;0,4500;8000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;352,0342
500000,0000;0,4500;8000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;42,2667
60000,0000;0,1000;10000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;749,3382
500000,0000;0,1000;10000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;90,1521
60000,0000;0,4500;10000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;687,8820
500000,0000;0,4500;10000,0000;1000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;82,7412
60000,0000;0,1000;8000,0000;2000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;25,5337
500000,0000;0,1000;8000,0000;2000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;3,0635
60000,0000;0,4500;8000,0000;2000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;24,0492
500000,0000;0,4500;8000,0000;2000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;2,8859
60000,0000;0,1000;10000,0000;2000,0000;10000000,0000;5000000,0000;1000000,0000;1000000,0000;48,6094
